datetime,ow_aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,year,month,day,hour,day_of_week,is_weekend,aqi_change_rate,aqi_change_rate_pct,aqi_rolling_3h,aqi_rolling_24h,pm2_5_rolling_3h,pm2_5_rolling_24h,pm10_rolling_3h,pm10_rolling_24h,no2_rolling_3h,no2_rolling_24h,so2_rolling_3h,so2_rolling_24h,co_rolling_3h,co_rolling_24h,o3_rolling_3h,o3_rolling_24h,target_aqi,target_aqi_category
2025-08-11 21:00:00,2,75.22,0.0,0.09,36.56,0.4,11.52,48.88,0.0,2025,8,11,21,0,0,0.0,0.0,2.0,2.0416666666666665,10.946666666666667,9.905416666666666,47.150000000000006,40.62416666666667,0.0833333333333333,0.0625,0.3933333333333333,0.3291666666666666,75.49666666666667,76.54625,36.876666666666665,38.01416666666666,2,1
2025-08-11 22:00:00,2,75.88,0.0,0.08,36.48,0.4,11.37,47.44,0.0,2025,8,11,22,0,0,0.0,0.0,2.0,2.0416666666666665,11.32,10.04625,47.95666666666667,41.26541666666667,0.0833333333333333,0.0633333333333333,0.4,0.33375,75.48,76.60041666666666,36.63666666666666,37.90208333333333,2,1
2025-08-11 23:00:00,2,77.03,0.0,0.08,36.71,0.39,10.92,45.65,0.0,2025,8,11,23,0,0,0.0,0.0,2.0,2.0416666666666665,11.27,10.173333333333334,47.32333333333333,41.92791666666667,0.0833333333333333,0.0641666666666666,0.3966666666666666,0.3383333333333334,76.04333333333334,76.6725,36.583333333333336,37.78916666666667,2,1
2025-08-12 00:00:00,2,77.91,0.0,0.08,37.08,0.38,10.77,45.73,0.0,2025,8,12,0,1,0,0.0,0.0,2.0,2.0416666666666665,11.02,10.29,46.27333333333333,42.65,0.08,0.0649999999999999,0.39,0.3429166666666667,76.94,76.74916666666667,36.75666666666667,37.68125,2,1
2025-08-12 01:00:00,2,78.14,0.0,0.08,37.44,0.39,11.33,49.15,0.0,2025,8,12,1,1,0,0.0,0.0,2.0,2.0416666666666665,11.006666666666668,10.4175,46.84333333333333,43.48875,0.08,0.0658333333333333,0.3866666666666666,0.3475,77.69333333333333,76.81166666666665,37.07666666666666,37.57791666666667,2,1
2025-08-12 02:00:00,3,77.05,0.0,0.08,37.0,0.41,12.65,55.73,0.0,2025,8,12,2,1,0,1.0,50.0,2.333333333333333,2.083333333333333,11.583333333333334,10.5825,50.203333333333326,44.53625,0.08,0.06625,0.3933333333333333,0.3525,77.7,76.8,37.17333333333333,37.44875,3,1
2025-08-12 03:00:00,3,75.49,0.0,0.08,36.34,0.44,13.79,61.74,0.0,2025,8,12,3,1,0,0.0,0.0,2.6666666666666665,2.125,12.589999999999998,10.786666666666669,55.54,45.812916666666666,0.08,0.0666666666666666,0.4133333333333333,0.35875,76.89333333333333,76.68,36.92666666666667,37.285833333333336,3,1
2025-08-12 04:00:00,3,74.42,0.01,0.08,36.05,0.44,14.18,63.61,0.0,2025,8,12,4,1,0,0.0,0.0,3.0,2.1666666666666665,13.54,11.00125,60.35999999999999,47.13541666666666,0.08,0.0674999999999999,0.43,0.365,75.65333333333334,76.47583333333333,36.46333333333333,37.10958333333333,3,1
2025-08-12 05:00:00,3,74.3,0.01,0.07,36.31,0.43,14.09,63.45,0.0,2025,8,12,5,1,0,0.0,0.0,3.0,2.208333333333333,14.02,11.194583333333334,62.93333333333334,48.337500000000006,0.0766666666666666,0.0683333333333333,0.4366666666666667,0.37,74.73666666666666,76.23583333333333,36.23333333333333,36.95291666666667,3,1
2025-08-12 06:00:00,3,74.56,0.01,0.06,36.78,0.42,13.75,62.49,0.0,2025,8,12,6,1,0,0.0,0.0,3.0,2.25,14.006666666666666,11.347083333333336,63.18333333333334,49.32083333333333,0.07,0.0691666666666666,0.43,0.3741666666666667,74.42666666666666,76.0025,36.38,36.837916666666665,3,1
